timestamp_utc,Actual Load
2024-01-03 03:30:00+00:00,45304.0
2024-01-03 03:45:00+00:00,45811.0
2024-01-03 04:00:00+00:00,46824.0
2024-01-03 04:15:00+00:00,47057.0
2024-01-03 04:30:00+00:00,48190.0
2024-01-03 04:45:00+00:00,49759.0
2024-01-03 05:00:00+00:00,52305.0
2024-01-03 05:15:00+00:00,53478.0
2024-01-03 05:30:00+00:00,54029.0
2024-01-03 05:45:00+00:00,55133.0
2024-01-03 06:00:00+00:00,56588.0
2024-01-03 06:15:00+00:00,57773.0
2024-01-03 06:30:00+00:00,58901.0
2024-01-03 06:45:00+00:00,59692.0
2024-01-03 07:00:00+00:00,60399.0
2024-01-03 07:15:00+00:00,60628.0
2024-01-03 07:30:00+00:00,61235.0
2024-01-03 07:45:00+00:00,61678.0
2024-01-03 08:00:00+00:00,61767.0
2024-01-03 08:15:00+00:00,62337.0
2024-01-03 08:30:00+00:00,62603.0
2024-01-03 08:45:00+00:00,62409.0
2024-01-03 09:00:00+00:00,62738.0
2024-01-03 09:15:00+00:00,62881.0
2024-01-03 09:30:00+00:00,63267.0
2024-01-03 09:45:00+00:00,63453.0
2024-01-03 10:00:00+00:00,63901.0
2024-01-03 10:15:00+00:00,64437.0
2024-01-03 10:30:00+00:00,64606.0
2024-01-03 10:45:00+00:00,64848.0
2024-01-03 11:00:00+00:00,64882.0
2024-01-03 11:15:00+00:00,64790.0
2024-01-03 11:30:00+00:00,64197.0
2024-01-03 11:45:00+00:00,63974.0
2024-01-03 12:00:00+00:00,63697.0
2024-01-03 12:15:00+00:00,63176.0
2024-01-03 12:30:00+00:00,62982.0
2024-01-03 12:45:00+00:00,62502.0
2024-01-03 13:00:00+00:00,62289.0
2024-01-03 13:15:00+00:00,61910.0
2024-01-03 13:30:00+00:00,61855.0
2024-01-03 13:45:00+00:00,61697.0
2024-01-03 14:00:00+00:00,61920.0
2024-01-03 14:15:00+00:00,61491.0
2024-01-03 14:30:00+00:00,61327.0
2024-01-03 14:45:00+00:00,61223.0
2024-01-03 15:00:00+00:00,61600.0
2024-01-03 15:15:00+00:00,61481.0
2024-01-03 15:30:00+00:00,62173.0
2024-01-03 15:45:00+00:00,63168.0
2024-01-03 16:00:00+00:00,64157.0
2024-01-03 16:15:00+00:00,64364.0
2024-01-03 16:30:00+00:00,64696.0
2024-01-03 16:45:00+00:00,65019.0
2024-01-03 17:00:00+00:00,64854.0
2024-01-03 17:15:00+00:00,64657.0
2024-01-03 17:30:00+00:00,64498.0
2024-01-03 17:45:00+00:00,64337.0
2024-01-03 18:00:00+00:00,63707.0
2024-01-03 18:15:00+00:00,62671.0
2024-01-03 18:30:00+00:00,62088.0
2024-01-03 18:45:00+00:00,61423.0
2024-01-03 19:00:00+00:00,60129.0
2024-01-03 19:15:00+00:00,59043.0
2024-01-03 19:30:00+00:00,58057.0
2024-01-03 19:45:00+00:00,57437.0
2024-01-03 20:00:00+00:00,56653.0
2024-01-03 20:15:00+00:00,56099.0
2024-01-03 20:30:00+00:00,55456.0
2024-01-03 20:45:00+00:00,54648.0
2024-01-03 21:00:00+00:00,54047.0
2024-01-03 21:15:00+00:00,53374.0
2024-01-03 21:30:00+00:00,52162.0
2024-01-03 21:45:00+00:00,51356.0
2024-01-03 22:00:00+00:00,50288.0
2024-01-03 22:15:00+00:00,49392.0
2024-01-03 22:30:00+00:00,48577.0
2024-01-03 22:45:00+00:00,47741.0
2024-01-03 23:00:00+00:00,47358.0
2024-01-03 23:15:00+00:00,46603.0
2024-01-03 23:30:00+00:00,46075.0
2024-01-03 23:45:00+00:00,45428.0
2024-01-04 00:00:00+00:00,45343.0
2024-01-04 00:15:00+00:00,45078.0
2024-01-04 00:30:00+00:00,45598.0
2024-01-04 00:45:00+00:00,45094.0
2024-01-04 01:00:00+00:00,44616.0
2024-01-04 01:15:00+00:00,44651.0
2024-01-04 01:30:00+00:00,44646.0
2024-01-04 01:45:00+00:00,44657.0
2024-01-04 02:00:00+00:00,44897.0
2024-01-04 02:15:00+00:00,44834.0
2024-01-04 02:30:00+00:00,45026.0
2024-01-04 02:45:00+00:00,45352.0
2024-01-04 03:00:00+00:00,45492.0
2024-01-04 03:15:00+00:00,46074.0
2024-01-04 03:30:00+00:00,46585.0
2024-01-04 03:45:00+00:00,46968.0
2024-01-04 04:00:00+00:00,47995.0
2024-01-04 04:15:00+00:00,48346.0
2024-01-04 04:30:00+00:00,48819.0
2024-01-04 04:45:00+00:00,49846.0
2024-01-04 05:00:00+00:00,51696.0
2024-01-04 05:15:00+00:00,53442.0
2024-01-04 05:30:00+00:00,54130.0
2024-01-04 05:45:00+00:00,55468.0
2024-01-04 06:00:00+00:00,57329.0
2024-01-04 06:15:00+00:00,58889.0
2024-01-04 06:30:00+00:00,59827.0
2024-01-04 06:45:00+00:00,61169.0
2024-01-04 07:00:00+00:00,62511.0
2024-01-04 07:15:00+00:00,62867.0
2024-01-04 07:30:00+00:00,63328.0
2024-01-04 07:45:00+00:00,63083.0
2024-01-04 08:00:00+00:00,63584.0
2024-01-04 08:15:00+00:00,64102.0
2024-01-04 08:30:00+00:00,64586.0
2024-01-04 08:45:00+00:00,64748.0
2024-01-04 09:00:00+00:00,65031.0
2024-01-04 09:15:00+00:00,65234.0
2024-01-04 09:30:00+00:00,65564.0
2024-01-04 09:45:00+00:00,65631.0
2024-01-04 10:00:00+00:00,65424.0
2024-01-04 10:15:00+00:00,65534.0
2024-01-04 10:30:00+00:00,65701.0
2024-01-04 10:45:00+00:00,65560.0
2024-01-04 11:00:00+00:00,65674.0
2024-01-04 11:15:00+00:00,65739.0
2024-01-04 11:30:00+00:00,65559.0
2024-01-04 11:45:00+00:00,65406.0
2024-01-04 12:00:00+00:00,65829.0
2024-01-04 12:15:00+00:00,65060.0
2024-01-04 12:30:00+00:00,64197.0
2024-01-04 12:45:00+00:00,63805.0
2024-01-04 13:00:00+00:00,64262.0
2024-01-04 13:15:00+00:00,63815.0
2024-01-04 13:30:00+00:00,63530.0
2024-01-04 13:45:00+00:00,63253.0
2024-01-04 14:00:00+00:00,63543.0
2024-01-04 14:15:00+00:00,63106.0
2024-01-04 14:30:00+00:00,62899.0
2024-01-04 14:45:00+00:00,62592.0
2024-01-04 15:00:00+00:00,63231.0
2024-01-04 15:15:00+00:00,63440.0
2024-01-04 15:30:00+00:00,64173.0
2024-01-04 15:45:00+00:00,64466.0
2024-01-04 16:00:00+00:00,65437.0
2024-01-04 16:15:00+00:00,65688.0
2024-01-04 16:30:00+00:00,65821.0
2024-01-04 16:45:00+00:00,65872.0
2024-01-04 17:00:00+00:00,65334.0
2024-01-04 17:15:00+00:00,64953.0
2024-01-04 17:30:00+00:00,64740.0
2024-01-04 17:45:00+00:00,64332.0
2024-01-04 18:00:00+00:00,64255.0
2024-01-04 18:15:00+00:00,63778.0
2024-01-04 18:30:00+00:00,63182.0
2024-01-04 18:45:00+00:00,62236.0
2024-01-04 19:00:00+00:00,60862.0
2024-01-04 19:15:00+00:00,59933.0
2024-01-04 19:30:00+00:00,59445.0
2024-01-04 19:45:00+00:00,58422.0
2024-01-04 20:00:00+00:00,57488.0
2024-01-04 20:15:00+00:00,56912.0
2024-01-04 20:30:00+00:00,55948.0
2024-01-04 20:45:00+00:00,55371.0
